index	video	video_path	duration	domain	candidates	sub_category	task_type	subtitle_path	question	answer	prediction	score
51	tX8a00l_Dfs	./video/tX8a00l_Dfs.mp4	short	Knowledge	['A. Index finger.', 'B. Middle finger.', 'C. Ring finger.', 'D. Little finger.']	Literature & Art	Action Recognition	./subtitle/tX8a00l_Dfs.srt	According to the video, which finger does not need to press the strings when playing Em9?	D	D	1.0
52	tX8a00l_Dfs	./video/tX8a00l_Dfs.mp4	short	Knowledge	['A. Eight.', 'B. Seven.', 'C. Fourteen.', 'D. Six.']	Literature & Art	Counting Problem	./subtitle/tX8a00l_Dfs.srt	How many kinds of chords are played in the video?	B	A	0.0
53	tX8a00l_Dfs	./video/tX8a00l_Dfs.mp4	short	Knowledge	['A. He played his favorite tune.', 'B. He claimed that he loves the chords mentioned above.', 'C. He played some complex chords.', 'D. He strung many chords.']	Literature & Art	Action Reasoning	./subtitle/tX8a00l_Dfs.srt	What did the YouTuber do at the latter part of the video?	D	D	1.0
54	mVIXU0x9ocI	./video/mVIXU0x9ocI.mp4	short	Knowledge	['A. The bird feels tired of flying.', 'B. The bird likes to stay on the branch.', 'C. The bird might get used to being alone.', 'D. The bird is dead.']	Literature & Art	Action Reasoning	./subtitle/mVIXU0x9ocI.srt	What is the author's intention in presenting a scene where all birds fly away except for one on the branch?	C	C	1.0
55	mVIXU0x9ocI	./video/mVIXU0x9ocI.mp4	short	Knowledge	['A. Eating.', 'B. Flying.', 'C. Walking.', 'D. Sleeping.']	Literature & Art	Action Recognition	./subtitle/mVIXU0x9ocI.srt	What is the raven doing in the video?	A	C	0.0
56	mVIXU0x9ocI	./video/mVIXU0x9ocI.mp4	short	Knowledge	['A. Michael.', 'B. Alone.', 'C. Edgar.', 'D. Shakespeare.']	Literature & Art	OCR Problems	./subtitle/mVIXU0x9ocI.srt	Whom is the poem in the video written by?	C	C	1.0
57	YPaLGP_xr-w	./video/YPaLGP_xr-w.mp4	short	Knowledge	"['A. Because the copper is rusty.', 'B. Because she was painted green.', ""C. Because people didn't like her original color."", 'D. Because she is not the origin one any more.']"	Literature & Art	Object Reasoning	./subtitle/YPaLGP_xr-w.srt	Based on the video, which of the following statements provides the most accurate explanation for why the Statue of Liberty is green in color?	A	A	1.0
58	YPaLGP_xr-w	./video/YPaLGP_xr-w.mp4	short	Knowledge	['A. By standing at the foot of the statue.', 'B. By going up to the crown of the statue.', 'C. By asking the vistor to lie down.', 'D. By lying down himself.']	Literature & Art	Action Reasoning	./subtitle/YPaLGP_xr-w.srt	How did the photographer who took pictures of the three tourists in the video take the photo?	D	D	1.0
59	YPaLGP_xr-w	./video/YPaLGP_xr-w.mp4	short	Knowledge	['A. At her feet.', 'B. At her crown.', 'C. Taken from the sea in the distance.', 'D. At her neck.']	Literature & Art	Spatial Perception	./subtitle/YPaLGP_xr-w.srt	Based on the information provided by the video, where is the best spot for tourists to take aerial photos of the sculpture mentioned in the video?	B	C	0.0
60	TbaCxIJ_VP4	./video/TbaCxIJ_VP4.mp4	short	Knowledge	['A. How mRNA vaccines work.', 'B. Production process and specifications of mRNA vaccines.', 'C. Application market of mRNA vaccine.', 'D. Possible side effects of mRNA vaccines.']	Biology & Medicine	Information Synopsis	./subtitle/TbaCxIJ_VP4.srt	Which of the following accurately describes the content of the video?	A	A	1.0
61	TbaCxIJ_VP4	./video/TbaCxIJ_VP4.mp4	short	Knowledge	['A. Cells.', 'B. Vaccines.', 'C. COVID-19 virus.', 'D. Antibodies.']	Biology & Medicine	Attribute Perception	./subtitle/TbaCxIJ_VP4.srt	Where does mRNA come from in the video?	B	B	1.0
62	TbaCxIJ_VP4	./video/TbaCxIJ_VP4.mp4	short	Knowledge	['A. Black.', 'B. Yellow.', 'C. Red.', 'D. Blue.']	Biology & Medicine	Attribute Perception	./subtitle/TbaCxIJ_VP4.srt	What color is the cell membrane of the virus-invaded cell in the video?	C	C	1.0
63	n3IYmdy6d4Y	./video/n3IYmdy6d4Y.mp4	short	Knowledge	['A. About 25 minutes.', 'B. About 20 minutes.', 'C. About 15 minutes.', 'D. About 23 minutes.']	Biology & Medicine	OCR Problems	./subtitle/n3IYmdy6d4Y.srt	According to the video, how long should one wait before cracking the same knuckle again?	B	A	0.0
64	n3IYmdy6d4Y	./video/n3IYmdy6d4Y.mp4	short	Knowledge	"[""A. It is derived from the Latin word for 'egg'."", 'B. It is a term used to describe a type of joint movement.', 'C. It refers to a type of bone tissue.', 'D. It indicates a condition related to the joints.']"	Biology & Medicine	Temporal Perception	./subtitle/n3IYmdy6d4Y.srt	"What detail does the caption provide about the term ""synovial"" at the beginning of the video?"	A	A	1.0
65	n3IYmdy6d4Y	./video/n3IYmdy6d4Y.mp4	short	Knowledge	['A. The surgical procedure for joint replacement.', 'B. The nutritional requirements for healthy bones.', 'C. The explanation of how joint lubrication works.', 'D. What happens to your knuckles when you crack them.']	Biology & Medicine	Information Synopsis	./subtitle/n3IYmdy6d4Y.srt	Which of the following could be the main topic of the video segment?	D	D	1.0
66	iZYLeIJwe4w	./video/iZYLeIJwe4w.mp4	short	Knowledge	['A. Bacteria are replicating inside a cell.', 'B. A cell is being infected by a virus.', 'C. An immune cell is destroying pathogens.', 'D. A platelet is clotting blood.']	Biology & Medicine	Information Synopsis	./subtitle/iZYLeIJwe4w.srt	Which option best describes the main topic of the video?	C	C	1.0
67	iZYLeIJwe4w	./video/iZYLeIJwe4w.mp4	short	Knowledge	['A. Special digestive enzymes: such as proteases or nucleases, which can break down bacterial proteins or nucleic acids under specific conditions.', 'B. Medical surgical instruments: e.g. scalpels, dissecting scissors, grinding equipment, etc., used for handling bacteria in surgery or cell culture.', 'C. Environmental disinfectants: Certain disinfectants, such as alcohol or hydrogen peroxide, are capable of disrupting the cell walls and membranes of bacteria, causing them to lyse.', 'D. Autoclaves: Autoclaving kills microorganisms, including bacteria, in medical devices or sample processing.']	Biology & Medicine	Object Recognition	./subtitle/iZYLeIJwe4w.srt	What is the mechanism/process that can break down bacteria according to the video?	A	A	1.0
68	iZYLeIJwe4w	./video/iZYLeIJwe4w.mp4	short	Knowledge	['A. The green cells in the middle of the video, devour a red cell.', 'B. The devoured green cells at the beginning of the video.', 'C. Tiny dense cells in blue at the beginning of the video.', 'D. It is impossible to extrapolate.']	Biology & Medicine	Attribute Perception	./subtitle/iZYLeIJwe4w.srt	Which cell shown in the video is of the same type as the white cell scrolling at the beginning?	A	C	0.0
69	jkNxmTrrZSk	./video/jkNxmTrrZSk.mp4	short	Knowledge	['A. A virus attacks a cell.', 'B. The replication of DNA.', 'C. A neuron sends a signal.', 'D. White blood cells attacking a pathogen.']	Biology & Medicine	Information Synopsis	./subtitle/jkNxmTrrZSk.srt	What does the video depict?	A	A	1.0
70	jkNxmTrrZSk	./video/jkNxmTrrZSk.mp4	short	Knowledge	['A. Dust mites in the lungs.', 'B. Virus.', 'C. Protein Receptors.', 'D. Black bacteria.']	Biology & Medicine	Temporal Perception	./subtitle/jkNxmTrrZSk.srt	Which object is depicted as a small flying black dot at the start of the video?	B	B	1.0
71	jkNxmTrrZSk	./video/jkNxmTrrZSk.mp4	short	Knowledge	"[""A. The process by which viruses are eliminated by the body's immune response."", 'B. Mechanisms of viral infection.', 'C. Production and spread of viruses.', 'D. Types of viruses and the most harmful ones.']"	Biology & Medicine	Information Synopsis	./subtitle/jkNxmTrrZSk.srt	What might be the primary focus of the video?	B	B	1.0
72	ebzbKa32kuk	./video/ebzbKa32kuk.mp4	short	Knowledge	['A. A model of a human lung.', 'B. A model of a human heart.', 'C. A model of a human liver.', 'D. A model of a human kidney.']	Biology & Medicine	Object Recognition	./subtitle/ebzbKa32kuk.srt	What structure is primarily depicted in the video?	B	B	1.0
73	ebzbKa32kuk	./video/ebzbKa32kuk.mp4	short	Knowledge	['A. Coronary arteries.', 'B. Pulmonary veins.', 'C. Hepatic veins.', 'D. Aortic valve.']	Biology & Medicine	Attribute Perception	./subtitle/ebzbKa32kuk.srt	Which of the following features is NOT visible on the model of the heart in the video?	C	C	1.0
74	ebzbKa32kuk	./video/ebzbKa32kuk.mp4	short	Knowledge	['A. For medical education.', 'B. For psychological prevention and treatment.', 'C. For diagnosis of special cases.', 'D. To guide home exercise programmes.']	Biology & Medicine	Object Reasoning	./subtitle/ebzbKa32kuk.srt	Which of the following best describes the purpose of the content shown in the video?	A	A	1.0
75	XWfqBKeC0g8	./video/XWfqBKeC0g8.mp4	short	Knowledge	['A. Lung cancer cells.', 'B. Brain cancer cells.', 'C. Pancreatic cancer cells.', 'D. Stomach cancer cells.']	Biology & Medicine	Object Recognition	./subtitle/XWfqBKeC0g8.srt	What type of cells are highlighted in the video?	C	C	1.0
76	XWfqBKeC0g8	./video/XWfqBKeC0g8.mp4	short	Knowledge	['A. 2000x magnification.', 'B. 1500x magnification.', 'C. 1000x magnification.', 'D. 500x magnification.']	Biology & Medicine	OCR Problems	./subtitle/XWfqBKeC0g8.srt	What level of magnification is used to view the cells in the video?	A	A	1.0
77	XWfqBKeC0g8	./video/XWfqBKeC0g8.mp4	short	Knowledge	['A. Amitosis.', 'B. Photosynthesis.', 'C. Enzymatic reactions.', 'D. Mitosis.']	Biology & Medicine	Action Recognition	./subtitle/XWfqBKeC0g8.srt	What process might these cells be undergoing?	D	D	1.0
78	tS4a6I4-Yjo	./video/tS4a6I4-Yjo.mp4	short	Knowledge	['A. Because she is preparing for a medical examination.', 'B. Because she went through an operation and needed to be hydrated.', 'C. Because she is sick and takes medication that requires a lot of water for adequate reflection.', 'D. Instead of water, she drinks a special medicine.']	Biology & Medicine	Temporal Perception	./subtitle/tS4a6I4-Yjo.srt	Why does the woman need to drink water at the beginning of the video?	A	A	1.0
79	tS4a6I4-Yjo	./video/tS4a6I4-Yjo.mp4	short	Knowledge	['A. UCLA Medical Center.', 'B. Eye Research USA.', 'C. Cancer Research UK.', 'D. South Africa Medical Center.']	Biology & Medicine	OCR Problems	./subtitle/tS4a6I4-Yjo.srt	Which organization is responsible for publishing the video?	C	C	1.0
80	tS4a6I4-Yjo	./video/tS4a6I4-Yjo.mp4	short	Knowledge	['A. The patient is undergoing an ECG.', 'B. The patient is undergoing a CT scan.', 'C. The healthcare worker is teaching a medical student.', 'D. The healthcare worker is conducting a medical experiment.']	Biology & Medicine	Action Reasoning	./subtitle/tS4a6I4-Yjo.srt	Which of the following statements can be inferred from the video?	B	B	1.0
81	TVkck1ACKDQ	./video/TVkck1ACKDQ.mp4	short	Knowledge	['A. She removed the liver.', 'B. She removed the lungs.', 'C. She removed the kidney.', 'D. She removed the heart.']	Biology & Medicine	Object Recognition	./subtitle/TVkck1ACKDQ.srt	What organ did the woman in the video remove from the medical model?	A	A	1.0
82	TVkck1ACKDQ	./video/TVkck1ACKDQ.mp4	short	Knowledge	['A. Promotion for a hospital.', 'B. Admissions brochure for a school.', 'C. Introduction of a newly established medical laboratory.', 'D. Introduction of excellent characters.']	Biology & Medicine	Information Synopsis	./subtitle/TVkck1ACKDQ.srt	What is the purpose of the video?	B	B	1.0
83	TVkck1ACKDQ	./video/TVkck1ACKDQ.mp4	short	Knowledge	['A. 3.', 'B. 4.', 'C. 1.', 'D. 2.']	Biology & Medicine	Counting Problem	./subtitle/TVkck1ACKDQ.srt	How many different people appear in the video?	C	D	0.0
