task_type	prefix	duration	video	question	answer	candidates	index	prediction
plotQA	video/1_plotQA	302.0	xiaoliyu_9.mp4	What expression did the school of fish in the cage show when they saw the cartoon snake?	Surprised	['Surprised', 'Happy', 'Sad', 'Angry']	9	(A) Surprised
plotQA	video/1_plotQA	302.0	xiaoliyu_9.mp4	What did the cartoon snake do to the cartoon carp?	Attacked	['Attacked', 'Played', 'Invited for a meal', 'Invited for a drink']	40	(A) Attacked
plotQA	video/1_plotQA	302.0	xiaoliyu_9.mp4	What did the cartoon lobster do to the unconscious cartoon turtle?	Kicked away	['Treated', 'Kicked away', 'Helped up', 'Attacked']	192	(C) Helped up
plotQA	video/1_plotQA	796.0	movie101_51.mp4	What is the old man in Japanese clothing doing on the street?	Preparing food	['Meditating', 'Preparing food', 'Running', 'Walking']	10	(B) Preparing food
plotQA	video/1_plotQA	796.0	movie101_51.mp4	At the beginning of the video, why is the man in a white t-shirt panicking?	Their house is being lifted into the air	['An earthquake occurred', 'Their house is being lifted into the air', 'Sudden change in weather', 'The house collapsed']	41	(B) Their house is being lifted into the air
plotQA	video/1_plotQA	796.0	movie101_51.mp4	At the end of the video, why did everyone on the street run into a house?	To watch a person in white clothes cooking	['They were being chased', 'To watch a person in white clothes cooking', 'They were hiding from the rain', 'They were looking for something']	193	(B) To watch a person in white clothes cooking
topic_reasoning	video/7_topic_reasoning	796.0	movie101_51.mp4	What kind of clothing is the old man preparing food on the street wearing?	Japanese clothing	['Sportswear', 'Zhongshan suit', 'Japanese clothing', 'Casual wear']	1999	(C) Japanese clothing
topic_reasoning	video/7_topic_reasoning	796.0	movie101_51.mp4	In the beginning of the video, under what conditions is the crane working?	At night	['At noon', 'In the morning', 'At night', 'In the afternoon']	2063	(C) At night
plotQA	video/1_plotQA	611.0	movie101_86.mp4	What weather does the event occur in?	Snowy day	['Snowy day', 'Rainy day', 'Overcast day', 'Sunny day']	11	(B) Rainy day
plotQA	video/1_plotQA	611.0	movie101_86.mp4	What in the man's hand is knocked off?	Wine glass	['Chopsticks', 'Spoon', 'Teacup', 'Wine glass']	90	(D) Wine glass
plotQA	video/1_plotQA	611.0	movie101_86.mp4	What is the mood of the man at the beginning of the video?	Sad	['Wronged', 'Neutral', 'Sad', 'Joyful']	447	(C) Sad
topic_reasoning	video/7_topic_reasoning	611.0	movie101_86.mp4	What story does the whole video tell?	Criminal Investigation	['Criminal Investigation', 'Wedding Scene', 'Drama Performance', 'Chase Incident']	1917	(A) Criminal Investigation
plotQA	video/1_plotQA	514.0	en_tv_1.mp4	At the beginning of the video, a woman in a red coat and a man with a hat are talking in the car. What does the man do after he opens the car door and leaves?	Make a phone call	['Sleep', 'Eat', 'Make a phone call', 'Play games']	12	(C) Make a phone call
plotQA	video/1_plotQA	514.0	en_tv_1.mp4	At the end of the video, what does the man in the black coat force the woman in the red coat to do?	Go to see a man in white clothes	['Leave', 'Withdraw money', 'Sleep', 'Go to see a man in white clothes']	168	(D) Go to see a man in white clothes
plotQA	video/1_plotQA	514.0	en_tv_1.mp4	After the woman in the red coat enters the car, what happens to her?	She is threatened with a gun	['Car accident', 'She is hit', 'She is scolded', 'She is threatened with a gun']	196	(D) She is threatened with a gun
topic_reasoning	video/7_topic_reasoning	514.0	en_tv_1.mp4	Who is the main character shown in the video?	A woman in a red coat	['A man in a red coat', 'A woman in a green coat', 'A woman in a blue coat', 'A woman in a red coat']	1922	(D) A woman in a red coat
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	In the opening scene of the video where three people are chatting, what color is the shirt of the man wearing glasses?	Blue	['Blue', 'White', 'Green', 'Black']	13	(A) Blue
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	In the scene where two people get out of the car, what color is the car?	Black	['Green', 'Black', 'Red', 'White']	169	(B) Black
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	In the scene where four people are dining and chatting, what color is the dress of the woman wearing a necklace?	Black	['Green', 'Purple', 'White', 'Black']	197	(B) Purple
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	What color is the top of the woman talking to the black police officer in the movie?	Purple	['Green', 'Black', 'White', 'Purple']	355	(D) Purple
plotQA	video/1_plotQA	590.0	movie101_79.mp4	What color is the suit worn by the man taking wedding photos?	Pink	['Brown', 'Pink', 'Black', 'White']	14	(B) Pink
plotQA	video/1_plotQA	590.0	movie101_79.mp4	What is the man eating in the clothing store?	Mothballs	['Burger', 'Pizza', 'Mothballs', 'Candy']	198	(D) Candy
plotQA	video/1_plotQA	590.0	movie101_79.mp4	What color is the swimsuit worn by the woman diving in the sea?	White	['Black', 'Red', 'White', 'Yellow']	377	(A) Black
topic_reasoning	video/7_topic_reasoning	590.0	movie101_79.mp4	What type of film is this?	Comedy	['Thriller', 'Action', 'Mystery', 'Comedy']	2129	(D) Comedy
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	What does the cartoon cat use to hit the cartoon mouse?	A vase	['A vase', 'Hammer', 'Stick', 'Stone']	15	(C) Stick
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	What are the cartoon cat and mouse eating together on the wall?	Chicken leg	['Chicken leg', 'Burger', 'Apple', 'Orange']	71	(A) Chicken leg
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	What are the cartoon cat and mouse doing in front of the pink curtain?	Clapping hands	['Drinking water', 'Fighting', 'Clapping hands', 'Eating snacks']	170	(B) Fighting
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	Why was the cartoon cat thrown out of the door?	Because people thought the cartoon cat broke the vase	"[""Because the cartoon cat couldn't catch the cartoon mouse"", 'Because people thought the cartoon cat broke the vase', ""Because it's too ugly"", 'Because it stole food']"	199	(A) Because the cartoon cat couldn't catch the cartoon mouse
plotQA	video/1_plotQA	323.0	movie101_74.mp4	What did the police officer throw into the crowd in the video?	Smoke grenade	['Knife', 'Bomb', 'Smoke grenade', 'Bat']	16	(C) Smoke grenade
plotQA	video/1_plotQA	323.0	movie101_74.mp4	What color is the police officer's uniform in the film?	Green	['White', 'Green', 'Black', 'Yellow']	49	(B) Green
plotQA	video/1_plotQA	323.0	movie101_74.mp4	What is the mood of the man being hit in the video?	Angry	['Sad', 'Joyful', 'Angry', 'Neutral']	412	(A) Sad
topic_reasoning	video/7_topic_reasoning	323.0	movie101_74.mp4	What is the genre of this film?	Action	['Sci-Fi', 'Romance', 'Action', 'Mystery']	1915	(C) Action
plotQA	video/1_plotQA	599.0	movie101_87.mp4	What color is the woman's clothing at the beginning of the video?	Pink	['Green', 'White', 'Pink', 'Black']	17	(C) Pink
plotQA	video/1_plotQA	599.0	movie101_87.mp4	What mode of transportation does the man use to carry the woman?	Bicycle	['Electric scooter', 'Rickshaw', 'Car', 'Bicycle']	201	(D) Bicycle
plotQA	video/1_plotQA	599.0	movie101_87.mp4	What is the man's mood at the end of the video?	Crying	['Joyful', 'Crying', 'Angry', 'Neutral']	378	(B) Crying
topic_reasoning	video/7_topic_reasoning	599.0	movie101_87.mp4	What is the main setting shown in the video?	Campus	['Hospital', 'Campus', 'Countryside', 'Temple']	2053	(B) Campus
topic_reasoning	video/7_topic_reasoning	599.0	movie101_87.mp4	What type of film is this?	Romance	['Action', 'Mystery', 'Comedy', 'Romance']	2104	(D) Romance
plotQA	video/1_plotQA	726.0	movie101_30.mp4	What color is the dress of the little girl taking pictures in the video?	White	['Blue', 'Red', 'White', 'Blue']	18	(C) White
plotQA	video/1_plotQA	726.0	movie101_30.mp4	What color is the clown's hair in the video?	Red	['White', 'Red', 'Blue', 'Green']	56	(B) Red
plotQA	video/1_plotQA	726.0	movie101_30.mp4	What color is the hoodie the boy in the video is wearing?	Purple	['White', 'Purple', 'Blue', 'Green']	175	(B) Purple
plotQA	video/1_plotQA	726.0	movie101_30.mp4	How many knives are stuck in the clown's back in the video?	Two	['Three', 'One', 'Two', 'Four']	202	(C) Two
topic_reasoning	video/7_topic_reasoning	726.0	movie101_30.mp4	What is the genre of this movie clip?	Action	['Comedy', 'Horror', 'Action', 'War']	1946	(C) Action
topic_reasoning	video/7_topic_reasoning	726.0	movie101_30.mp4	In what scenario does the scene in the video take place?	City	['Snowy Mountain', 'Forest', 'City', 'Island']	2083	(C) City
plotQA	video/1_plotQA	259.0	movie101_2.mp4	What is the outcome for the man in black clothes?	He is caught by a net laid by a helicopter	['He is caught by a net laid by a helicopter', 'He is shot dead by people in military uniform', 'He dies by jumping off the cliff', 'He is captured by people in military uniform']	19	(D) He is captured by people in military uniform
plotQA	video/1_plotQA	259.0	movie101_2.mp4	Why does the man in black clothes stand on the edge of the cliff?	To avoid being hit by a truck	['He is meditating or contemplating on the edge of the cliff', 'To avoid being hit by a truck', 'He is admiring the view from the cliff', 'He is taking photos on the edge of the cliff']	141	(B) To avoid being hit by a truck
plotQA	video/1_plotQA	259.0	movie101_2.mp4	How does the man in black clothes escape from indoors to outdoors?	He escapes to the outdoors by breaking through the window	['He escapes to the outdoors by rushing out the door', 'He escapes to the outdoors through an underground passage', 'He escapes to the outdoors by breaking through the window', 'He escapes to the outdoors through an emergency exit']	497	(C) He escapes to the outdoors by breaking through the window
plotQA	video/1_plotQA	795.0	movie101_5.mp4	What is the weather during the outdoor fight scene with the soldiers standing?	Rainy	['Cloudy', 'Rainy', 'Sunny', 'Snowstorm']	20	(B) Rainy
plotQA	video/1_plotQA	795.0	movie101_5.mp4	Is there a scene of archery in the video?	There is an archery scene	['', 'There is an archery scene', 'There is no archery scene', '']	23	(B) There is an archery scene
plotQA	video/1_plotQA	795.0	movie101_5.mp4	What is the weather during the fight at the beginning of the video?	Rainy	['Snowstorm', 'Cloudy', 'Sunny', 'Rainy']	25	(D) Rainy
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What is the weather in the scene in the forest in the movie?	Foggy	['Snowy', 'Sunny', 'Rainy', 'Foggy']	21	(D) Foggy
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What color is the back of the monster standing on the big monster in the movie?	Green	['Black', 'Green', 'Blue', 'Purple']	58	(A) Black
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What color is the man's clothes in the movie?	Teal	['Blue', 'Brown', 'Teal', 'Purple']	177	(C) Teal
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What color is the monster with wings in the forest in the movie?	Red	['Green', 'Black', 'Red', 'Yellow']	204	(C) Red
topic_reasoning	video/7_topic_reasoning	234.0	movie101_28.mp4	What is the genre of this movie clip?	Science Fiction	['Horror', 'Science Fiction', 'War', 'Comedy']	1963	(B) Science Fiction
topic_reasoning	video/7_topic_reasoning	234.0	movie101_28.mp4	In what setting does the scene in the video take place?	Forest	['Island', 'Snowy Mountain', 'Forest', 'City']	2042	(C) Forest
plotQA	video/1_plotQA	421.0	movie101_73.mp4	At the end of the video, what is the mood of the man who gets hit?	Angry	['Happy', 'Sad', 'Angry', 'Neutral']	22	(A) Happy
plotQA	video/1_plotQA	421.0	movie101_73.mp4	What color is the clothing of the first man to appear in the video?	Yellow	['White', 'Yellow', 'Green', 'Black']	59	(D) Black
plotQA	video/1_plotQA	421.0	movie101_73.mp4	What color is the dress of the first woman to appear in the video?	White	['White', 'Green', 'Black', 'Yellow']	420	(A) White
topic_reasoning	video/7_topic_reasoning	421.0	movie101_73.mp4	What is the main story of the film?	Blind date	['Blind date', 'Fighting', 'Dancing', 'Eating']	1954	(A) Blind date
topic_reasoning	video/7_topic_reasoning	421.0	movie101_73.mp4	What type of film is this?	Romance	['Sci-fi', 'Comedy', 'Mystery', 'Romance']	2080	(D) Romance
plotQA	video/1_plotQA	720.0	movie101_111.mp4	Why did the man in the black coat leave after handing something to the speaker?	There was a case he needed to handle	['There was a case he needed to handle', 'He was preparing for the next speech', 'He was in a hurry to go to the bathroom', 'He went to get another item']	24	(A) There was a case he needed to handle
plotQA	video/1_plotQA	720.0	movie101_111.mp4	Why did two people in white coats push a device onto the stage during the speech?	To assist the man in the black suit with his speech	['There was an unexpected situation on the stage', 'They pushed the device onto the stage on their own', 'To allow the man to repair the device', 'To assist the man in the black suit with his speech']	62	(D) To assist the man in the black suit with his speech
plotQA	video/1_plotQA	720.0	movie101_111.mp4	Why did the man in the black coat enter the house of the woman in the white coat?	To investigate a suspect	['To commit a robbery', 'To investigate a suspect', 'To rescue the woman', 'To help the woman']	125	(B) To investigate a suspect
topic_reasoning	video/7_topic_reasoning	720.0	movie101_111.mp4	What is the main plot shown in the video?	Police solving a case	['Police solving a case', 'Basketball match', 'Friends gathering', 'Traveling and sightseeing']	1973	(A) Police solving a case
topic_reasoning	video/7_topic_reasoning	720.0	movie101_111.mp4	What type of video is this?	Mystery	['Comedy', 'Science fiction', 'Action', 'Mystery']	2030	(D) Mystery
plotQA	video/1_plotQA	214.0	movie101_1.mp4	What is the mood of the person in the blue pants after kicking the water?	Resentful	['Resentful', 'Surprised', 'Happy', 'Depressed']	26	(D) Depressed
plotQA	video/1_plotQA	214.0	movie101_1.mp4	Why did the children run out of the classroom?	To watch two other children fight	['To play games', 'Class is over', 'To watch two other children fight', 'To eat']	207	(C) To watch two other children fight
plotQA	video/1_plotQA	214.0	movie101_1.mp4	At the beginning of the video, what behavior of the person in the black shirt is the person in the blue pants trying to prevent?	Lighting a cigarette	['Lighting a cigarette', 'Bowing down', 'Raising hand', 'Squatting down']	388	(A) Lighting a cigarette
plotQA	video/1_plotQA	247.0	movie101_32.mp4	What color is the car being repaired in the movie?	White	['Black', 'Yellow', 'Blue', 'White']	27	(D) White
plotQA	video/1_plotQA	247.0	movie101_32.mp4	What color is the car knocking on the window and opening the door in the movie?	Red	['Red', 'Blue', 'Yellow', 'White']	239	(A) Red
plotQA	video/1_plotQA	247.0	movie101_32.mp4	At what time does the car repair scene in the movie take place?	Night	['Noon', 'Evening', 'Night', 'Morning']	389	(C) Night
plotQA	video/1_plotQA	247.0	movie101_32.mp4	What color are the pants of the man in the blue shirt in the horse riding scene in the movie?	Red	['Yellow', 'Blue', 'White', 'Red']	425	(D) Red
topic_reasoning	video/7_topic_reasoning	247.0	movie101_32.mp4	What is the genre of this film clip?	Modern	['Comedy', 'War', 'Horror', 'Modern']	2045	(A) Comedy
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the clothing of the person holding a gun in the fight scene?	Black	['Black', 'White', 'Green', 'Yellow']	28	(A) Black
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the chimney in the video?	Alternating orange and white	['Yellow', 'Green', 'Alternating orange and white', 'White']	30	(C) Alternating orange and white
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the top worn by the woman making a phone call in the video?	Green	['Green', 'White', 'Blue', 'Yellow']	31	(A) Green
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the table lamp in the background of the scene where two people are chatting?	White	['White', 'Green', 'Yellow', 'Black']	35	(A) White
topic_reasoning	video/7_topic_reasoning	478.0	en_tv_25.mp4	What genre of film is the clip in the video from?	Action film	['War film', 'Horror film', 'Documentary', 'Action film']	2061	(D) Action film
plotQA	video/1_plotQA	748.0	movie101_34.mp4	What color is the hair of the boy buying things in the convenience store in the video?	Yellow	['Black', 'Red', 'White', 'Yellow']	29	(B) Red
plotQA	video/1_plotQA	748.0	movie101_34.mp4	What color is the girl's hair in the video?	Blue	['Red', 'Blue', 'White', 'Black']	244	(B) Blue
plotQA	video/1_plotQA	748.0	movie101_34.mp4	How many candles are lit in the video?	Four	['One', 'Three', 'Four', 'Two']	390	(C) Four
plotQA	video/1_plotQA	748.0	movie101_34.mp4	What color is the hoodie that the boy in the video is wearing?	Green	['Green', 'Red', 'White', 'Black']	426	(A) Green
topic_reasoning	video/7_topic_reasoning	748.0	movie101_34.mp4	What is the genre of the movie clip?	Modern	['Horror', 'War', 'Modern', 'Comedy']	2036	(A) Horror
topic_reasoning	video/7_topic_reasoning	748.0	movie101_34.mp4	In what setting does the scene in the video take place?	Town	['Forest', 'Island', 'Snowy Mountain', 'Town']	2127	(D) Town
plotQA	video/1_plotQA	577.0	en_tv_31.mp4	What is the woman in the blue dress holding in the video?	Flower	['Food', 'Mirror', 'Flower', 'Water Cup']	32	(C) Flower
plotQA	video/1_plotQA	577.0	en_tv_31.mp4	What color is the dress of the woman who enters while the two men are cooking at the beginning?	Blue	['Blue', 'White', 'Green', 'Black']	217	(D) Black
plotQA	video/1_plotQA	577.0	en_tv_31.mp4	What does the drone operated by the two men hit?	Photo	['Photo', 'Cabinet', 'Vase', 'Table']	394	(A) Photo
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color are the flowers on the table in the meeting scene in the video?	White	['Black', 'White', 'Yellow', 'Blue']	33	(B) White
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color is the jacket worn by the fencing coach in the video?	Blue	['White', 'Green', 'Purple', 'Blue']	149	(A) White
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color is the computer used by the man during the meeting?	Silver	['Green', 'Blue', 'Silver', 'Purple']	213	(C) Silver
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color is the shirt worn by the man while chatting with the woman in the office?	Purple	['Blue', 'White', 'Green', 'Purple']	391	(B) White
plotQA	video/1_plotQA	227.0	movie101_71.mp4	What color is the dress of the woman writing on the wall in the video?	White	['Black', 'White', 'Blue', 'Red']	36	(B) White
plotQA	video/1_plotQA	227.0	movie101_71.mp4	What mode of transportation does the man at the end of the video use to pick up the woman?	Car	['Electric Scooter', 'Car', 'Bicycle', 'Train']	215	(B) Car
topic_reasoning	video/7_topic_reasoning	227.0	movie101_71.mp4	What event is primarily depicted in the video?	Prison Break	['Prison Break', 'Romance', 'Dance', 'Competition']	2043	(A) Prison Break
topic_reasoning	video/7_topic_reasoning	227.0	movie101_71.mp4	What is the genre of this film?	Comedy	['Romance', 'Comedy', 'Mystery', 'Science Fiction']	2048	(C) Mystery
plotQA	video/1_plotQA	607.0	movie101_78.mp4	What color is the woman's dress in the tavern?	Green	['Pink', 'Red', 'White', 'Green']	37	(A) Pink
plotQA	video/1_plotQA	607.0	movie101_78.mp4	What animal is the woman and man holding in their hands while standing in the night?	Dog	['Pig', 'Cat', 'Rabbit', 'Dog']	151	(D) Dog
plotQA	video/1_plotQA	607.0	movie101_78.mp4	What did the woman split open with a knife?	Mat	['Mat', 'Cloth', 'Wood', 'Paper']	513	(A) Mat
topic_reasoning	video/7_topic_reasoning	607.0	movie101_78.mp4	In what setting does the event in the video take place?	Ancient Folklore	['Modern Countryside', 'Ancient Folklore', 'Modern City', 'Ancient Palace']	2066	(B) Ancient Folklore
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	What is the cartoon big mouse taking the cartoon little mouse to do?	Looking for food	['Looking for food', 'Listening to music', 'Watching movies', 'Playing ball']	38	(A) Looking for food
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	Why does the cartoon little mouse want to eat the cheese on the clip?	Because the cartoon little mouse is hungry	['Because the cartoon little mouse is angry', 'Because the cartoon little mouse wants to grow', 'Because the cartoon little mouse is hungry', 'Because the cartoon little mouse is happy']	76	(C) Because the cartoon little mouse is hungry
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	What does the cartoon big mouse use to help the cartoon little mouse climb the table?	Noodles	['Tablecloth', 'Towel', 'Rope', 'Noodles']	219	(C) Rope
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	Why did the cartoon little mouse turn into a sphere?	Because it swallowed an orange	['Because it swallowed an orange', 'Because it swallowed an apple', 'Because it swallowed a tomato', 'Because it swallowed a peach']	395	(A) Because it swallowed an orange
topic_reasoning	video/7_topic_reasoning	302.0	tomjerry_10.mp4	Where is the scene of the video?	Inside the house	['Street', 'Park', 'Outdoors', 'Inside the house']	2024	(D) Inside the house
plotQA	video/1_plotQA	441.0	en_tv_22.mp4	What color is the vest worn by the character in the amusement park scene?	Black	['Yellow', 'Black', 'Green', 'White']	39	(B) Black
plotQA	video/1_plotQA	441.0	en_tv_22.mp4	What material is the wall made of in the scene where it's being broken down?	Bricks	['Cement', 'Wooden Plank', 'Bricks', 'Plastic Sheet']	42	(C) Bricks
plotQA	video/1_plotQA	441.0	en_tv_22.mp4	What color is the clothing of the man breaking the wall with a hammer?	Black	['Green', 'White', 'Purple', 'Black']	45	(D) Black
plotQA	video/1_plotQA	441.0	en_tv_22.mp4	What color is the woman's hair in the room where the man is kidnapped?	Yellow	['Green', 'Black', 'Yellow', 'White']	121	(B) Black
topic_reasoning	video/7_topic_reasoning	441.0	en_tv_22.mp4	What genre of movie is the clip in the video from?	Action	['Horror', 'Action', 'War', 'Documentary']	1934	(B) Action
plotQA	video/1_plotQA	552.0	en_tv_16.mp4	What is the man's expression when he is chatting with the black man in the video?	Grimacing	['Smiling', 'Grimacing', 'Bitter smile', 'Shocked']	43	(C) Bitter smile
