task_type	prefix	duration	video	question	answer	candidates	index	prediction	score
plotQA	video/1_plotQA	465.0	en_tv_11.mp4	Why are the woman in blue clothing and the man with a scar on his face surrounded by armed personnel?	Because they triggered the alarm device	['Because they had a fight', 'Because they killed someone', 'Because they triggered the alarm device', 'Because they robbed']	6	(C) Because they triggered the alarm device	1.0
plotQA	video/1_plotQA	465.0	en_tv_11.mp4	Why does the woman in blue clothing want to enter the house?	To operate the computer device in the house	['To eat', 'To sleep', 'To play games', 'To operate the computer device in the house']	34	(D) To operate the computer device in the house	1.0
plotQA	video/1_plotQA	465.0	en_tv_11.mp4	Why does the woman in leather clothing want to attract attention?	To help another woman sneak into the house	['To complete a mission', 'For fun', 'To help another woman sneak into the house', 'Unintentionally']	397	(C) To help another woman sneak into the house	1.0
plotQA	video/1_plotQA	322.0	movie101_112.mp4	What happened after the person with the yellow stripe arrived at the camp?	He started a fight with the person holding the pipe	['He went to eat', 'He went hunting', 'He went to war', 'He started a fight with the person holding the pipe']	7	(D) He started a fight with the person holding the pipe	0.0
plotQA	video/1_plotQA	322.0	movie101_112.mp4	How did the person lying in the bed in the camp get there?	He was brought to the camp by horse	['He was carried there', 'He ran there', 'He walked there', 'He was brought to the camp by horse']	374	(D) He was brought to the camp by horse	1.0
plotQA	video/1_plotQA	322.0	movie101_112.mp4	What is the final fate of the person holding the pipe?	He was shot dead by an arrow	['He was shot dead by an arrow', 'He escaped', 'He was captured', 'He was killed by a sword']	525	(D) He was killed by a sword	1.0
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	Why does the cartoon mouse hide in the water?	To avoid the bee	['To learn swimming', 'To avoid the bee', 'To hide from the cartoon dog', 'For fun']	8	(B) To avoid the bee	1.0
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	Whose pink handkerchief fell?	The white cartoon female cat's	"[""The cartoon dog's"", ""The white cartoon female cat's"", ""The cartoon turtle's"", ""The cartoon mouse's""]"	164	(B) The white cartoon female cat's	1.0
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	What is inside the white golf ball?	A bomb	['Chocolate', 'A wooden ball', 'A bomb', 'Nothing']	375	(C) A bomb	1.0
plotQA	video/1_plotQA	306.0	tomjerry_7.mp4	Why is the cartoon cat sitting in front of the window?	To watch the white cartoon female cat	['To enjoy the view', 'To watch the white cartoon female cat', 'Feeling lost', 'To make a phone call']	527	(B) To watch the white cartoon female cat	1.0
topic_reasoning	video/7_topic_reasoning	306.0	tomjerry_7.mp4	Who are the characters in the video?	Two cartoon cats and one cartoon mouse	['Two cartoon cats', 'Two cartoon cats and two cartoon mice', 'Two cartoon cats and one cartoon mouse', 'One cartoon cat and one cartoon mouse']	1942	(C) Two cartoon cats and one cartoon mouse	1.0
plotQA	video/1_plotQA	302.0	xiaoliyu_9.mp4	What expression did the school of fish in the cage show when they saw the cartoon snake?	Surprised	['Surprised', 'Happy', 'Sad', 'Angry']	9	(A) Surprised	0.0
plotQA	video/1_plotQA	302.0	xiaoliyu_9.mp4	What did the cartoon snake do to the cartoon carp?	Attacked	['Attacked', 'Played', 'Invited for a meal', 'Invited for a drink']	40	(A) Attacked	1.0
plotQA	video/1_plotQA	302.0	xiaoliyu_9.mp4	What did the cartoon lobster do to the unconscious cartoon turtle?	Kicked away	['Treated', 'Kicked away', 'Helped up', 'Attacked']	192	(D) Attacked	1.0
plotQA	video/1_plotQA	796.0	movie101_51.mp4	What is the old man in Japanese clothing doing on the street?	Preparing food	['Meditating', 'Preparing food', 'Running', 'Walking']	10	(D) Walking	1.0
plotQA	video/1_plotQA	796.0	movie101_51.mp4	At the beginning of the video, why is the man in a white t-shirt panicking?	Their house is being lifted into the air	['An earthquake occurred', 'Their house is being lifted into the air', 'Sudden change in weather', 'The house collapsed']	41	(D) The house collapsed	0.0
plotQA	video/1_plotQA	796.0	movie101_51.mp4	At the end of the video, why did everyone on the street run into a house?	To watch a person in white clothes cooking	['They were being chased', 'To watch a person in white clothes cooking', 'They were hiding from the rain', 'They were looking for something']	193	(A) They were being chased	1.0
topic_reasoning	video/7_topic_reasoning	796.0	movie101_51.mp4	What kind of clothing is the old man preparing food on the street wearing?	Japanese clothing	['Sportswear', 'Zhongshan suit', 'Japanese clothing', 'Casual wear']	1999	(B) Zhongshan suit	0.0
topic_reasoning	video/7_topic_reasoning	796.0	movie101_51.mp4	In the beginning of the video, under what conditions is the crane working?	At night	['At noon', 'In the morning', 'At night', 'In the afternoon']	2063	(C) At night	1.0
plotQA	video/1_plotQA	611.0	movie101_86.mp4	What weather does the event occur in?	Snowy day	['Snowy day', 'Rainy day', 'Overcast day', 'Sunny day']	11	(A) Snowy day	1.0
plotQA	video/1_plotQA	611.0	movie101_86.mp4	What in the man's hand is knocked off?	Wine glass	['Chopsticks', 'Spoon', 'Teacup', 'Wine glass']	90	(D) Wine glass	1.0
plotQA	video/1_plotQA	611.0	movie101_86.mp4	What is the mood of the man at the beginning of the video?	Sad	['Wronged', 'Neutral', 'Sad', 'Joyful']	447	(A) Wronged	0.0
topic_reasoning	video/7_topic_reasoning	611.0	movie101_86.mp4	What story does the whole video tell?	Criminal Investigation	['Criminal Investigation', 'Wedding Scene', 'Drama Performance', 'Chase Incident']	1917	(A) Criminal Investigation	1.0
plotQA	video/1_plotQA	514.0	en_tv_1.mp4	At the beginning of the video, a woman in a red coat and a man with a hat are talking in the car. What does the man do after he opens the car door and leaves?	Make a phone call	['Sleep', 'Eat', 'Make a phone call', 'Play games']	12	(C) Make a phone call	0.0
plotQA	video/1_plotQA	514.0	en_tv_1.mp4	At the end of the video, what does the man in the black coat force the woman in the red coat to do?	Go to see a man in white clothes	['Leave', 'Withdraw money', 'Sleep', 'Go to see a man in white clothes']	168	(D) Go to see a man in white clothes	0.0
plotQA	video/1_plotQA	514.0	en_tv_1.mp4	After the woman in the red coat enters the car, what happens to her?	She is threatened with a gun	['Car accident', 'She is hit', 'She is scolded', 'She is threatened with a gun']	196	(A) Car accident	1.0
topic_reasoning	video/7_topic_reasoning	514.0	en_tv_1.mp4	Who is the main character shown in the video?	A woman in a red coat	['A man in a red coat', 'A woman in a green coat', 'A woman in a blue coat', 'A woman in a red coat']	1922	(D) A woman in a red coat	1.0
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	In the opening scene of the video where three people are chatting, what color is the shirt of the man wearing glasses?	Blue	['Blue', 'White', 'Green', 'Black']	13	(D) Black	1.0
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	In the scene where two people get out of the car, what color is the car?	Black	['Green', 'Black', 'Red', 'White']	169	(B) Black	1.0
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	In the scene where four people are dining and chatting, what color is the dress of the woman wearing a necklace?	Black	['Green', 'Purple', 'White', 'Black']	197	(B) Purple	0.0
plotQA	video/1_plotQA	583.0	en_tv_19.mp4	What color is the top of the woman talking to the black police officer in the movie?	Purple	['Green', 'Black', 'White', 'Purple']	355	(B) Black	1.0
plotQA	video/1_plotQA	590.0	movie101_79.mp4	What color is the suit worn by the man taking wedding photos?	Pink	['Brown', 'Pink', 'Black', 'White']	14	(C) Black	0.0
plotQA	video/1_plotQA	590.0	movie101_79.mp4	What is the man eating in the clothing store?	Mothballs	['Burger', 'Pizza', 'Mothballs', 'Candy']	198	(A) Burger	0.0
plotQA	video/1_plotQA	590.0	movie101_79.mp4	What color is the swimsuit worn by the woman diving in the sea?	White	['Black', 'Red', 'White', 'Yellow']	377	(A) Black	0.0
topic_reasoning	video/7_topic_reasoning	590.0	movie101_79.mp4	What type of film is this?	Comedy	['Thriller', 'Action', 'Mystery', 'Comedy']	2129	(D) Comedy	0.0
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	What does the cartoon cat use to hit the cartoon mouse?	A vase	['A vase', 'Hammer', 'Stick', 'Stone']	15	(B) Hammer	1.0
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	What are the cartoon cat and mouse eating together on the wall?	Chicken leg	['Chicken leg', 'Burger', 'Apple', 'Orange']	71	(A) Chicken leg	1.0
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	What are the cartoon cat and mouse doing in front of the pink curtain?	Clapping hands	['Drinking water', 'Fighting', 'Clapping hands', 'Eating snacks']	170	(B) Fighting	1.0
plotQA	video/1_plotQA	311.0	tomjerry_4.mp4	Why was the cartoon cat thrown out of the door?	Because people thought the cartoon cat broke the vase	"[""Because the cartoon cat couldn't catch the cartoon mouse"", 'Because people thought the cartoon cat broke the vase', ""Because it's too ugly"", 'Because it stole food']"	199	(A) Because the cartoon cat couldn't catch the cartoon mouse	0.0
plotQA	video/1_plotQA	323.0	movie101_74.mp4	What did the police officer throw into the crowd in the video?	Smoke grenade	['Knife', 'Bomb', 'Smoke grenade', 'Bat']	16	(B) Bomb	0.0
plotQA	video/1_plotQA	323.0	movie101_74.mp4	What color is the police officer's uniform in the film?	Green	['White', 'Green', 'Black', 'Yellow']	49	(C) Black	1.0
plotQA	video/1_plotQA	323.0	movie101_74.mp4	What is the mood of the man being hit in the video?	Angry	['Sad', 'Joyful', 'Angry', 'Neutral']	412	(C) Angry	1.0
topic_reasoning	video/7_topic_reasoning	323.0	movie101_74.mp4	What is the genre of this film?	Action	['Sci-Fi', 'Romance', 'Action', 'Mystery']	1915	(C) Action	0.0
plotQA	video/1_plotQA	599.0	movie101_87.mp4	What color is the woman's clothing at the beginning of the video?	Pink	['Green', 'White', 'Pink', 'Black']	17	(C) Pink	1.0
plotQA	video/1_plotQA	599.0	movie101_87.mp4	What mode of transportation does the man use to carry the woman?	Bicycle	['Electric scooter', 'Rickshaw', 'Car', 'Bicycle']	201	(D) Bicycle	0.0
plotQA	video/1_plotQA	599.0	movie101_87.mp4	What is the man's mood at the end of the video?	Crying	['Joyful', 'Crying', 'Angry', 'Neutral']	378	(B) Crying	0.0
topic_reasoning	video/7_topic_reasoning	599.0	movie101_87.mp4	What is the main setting shown in the video?	Campus	['Hospital', 'Campus', 'Countryside', 'Temple']	2053	(B) Campus	1.0
topic_reasoning	video/7_topic_reasoning	599.0	movie101_87.mp4	What type of film is this?	Romance	['Action', 'Mystery', 'Comedy', 'Romance']	2104	(D) Romance	0.0
plotQA	video/1_plotQA	726.0	movie101_30.mp4	What color is the dress of the little girl taking pictures in the video?	White	['Blue', 'Red', 'White', 'Blue']	18	(B) Red	1.0
plotQA	video/1_plotQA	726.0	movie101_30.mp4	What color is the clown's hair in the video?	Red	['White', 'Red', 'Blue', 'Green']	56	(B) Red	0.0
plotQA	video/1_plotQA	726.0	movie101_30.mp4	What color is the hoodie the boy in the video is wearing?	Purple	['White', 'Purple', 'Blue', 'Green']	175	(B) Purple	1.0
plotQA	video/1_plotQA	726.0	movie101_30.mp4	How many knives are stuck in the clown's back in the video?	Two	['Three', 'One', 'Two', 'Four']	202	(C) Two	1.0
topic_reasoning	video/7_topic_reasoning	726.0	movie101_30.mp4	What is the genre of this movie clip?	Action	['Comedy', 'Horror', 'Action', 'War']	1946	(B) Horror	1.0
topic_reasoning	video/7_topic_reasoning	726.0	movie101_30.mp4	In what scenario does the scene in the video take place?	City	['Snowy Mountain', 'Forest', 'City', 'Island']	2083	(C) City	0.0
plotQA	video/1_plotQA	259.0	movie101_2.mp4	What is the outcome for the man in black clothes?	He is caught by a net laid by a helicopter	['He is caught by a net laid by a helicopter', 'He is shot dead by people in military uniform', 'He dies by jumping off the cliff', 'He is captured by people in military uniform']	19	(B) He is shot dead by people in military uniform	1.0
plotQA	video/1_plotQA	259.0	movie101_2.mp4	Why does the man in black clothes stand on the edge of the cliff?	To avoid being hit by a truck	['He is meditating or contemplating on the edge of the cliff', 'To avoid being hit by a truck', 'He is admiring the view from the cliff', 'He is taking photos on the edge of the cliff']	141	(B) To avoid being hit by a truck	0.0
plotQA	video/1_plotQA	259.0	movie101_2.mp4	How does the man in black clothes escape from indoors to outdoors?	He escapes to the outdoors by breaking through the window	['He escapes to the outdoors by rushing out the door', 'He escapes to the outdoors through an underground passage', 'He escapes to the outdoors by breaking through the window', 'He escapes to the outdoors through an emergency exit']	497	(A) He escapes to the outdoors by rushing out the door	1.0
plotQA	video/1_plotQA	795.0	movie101_5.mp4	What is the weather during the outdoor fight scene with the soldiers standing?	Rainy	['Cloudy', 'Rainy', 'Sunny', 'Snowstorm']	20	(B) Rainy	0.0
plotQA	video/1_plotQA	795.0	movie101_5.mp4	Is there a scene of archery in the video?	There is an archery scene	['', 'There is an archery scene', 'There is no archery scene', '']	23	(C) There is no archery scene	1.0
plotQA	video/1_plotQA	795.0	movie101_5.mp4	What is the weather during the fight at the beginning of the video?	Rainy	['Snowstorm', 'Cloudy', 'Sunny', 'Rainy']	25	(D) Rainy	0.0
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What is the weather in the scene in the forest in the movie?	Foggy	['Snowy', 'Sunny', 'Rainy', 'Foggy']	21	(D) Foggy	1.0
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What color is the back of the monster standing on the big monster in the movie?	Green	['Black', 'Green', 'Blue', 'Purple']	58	(A) Black	0.0
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What color is the man's clothes in the movie?	Teal	['Blue', 'Brown', 'Teal', 'Purple']	177	(B) Brown	1.0
plotQA	video/1_plotQA	234.0	movie101_28.mp4	What color is the monster with wings in the forest in the movie?	Red	['Green', 'Black', 'Red', 'Yellow']	204	(A) Green	1.0
topic_reasoning	video/7_topic_reasoning	234.0	movie101_28.mp4	What is the genre of this movie clip?	Science Fiction	['Horror', 'Science Fiction', 'War', 'Comedy']	1963	(A) Horror	0.0
topic_reasoning	video/7_topic_reasoning	234.0	movie101_28.mp4	In what setting does the scene in the video take place?	Forest	['Island', 'Snowy Mountain', 'Forest', 'City']	2042	(C) Forest	0.0
plotQA	video/1_plotQA	421.0	movie101_73.mp4	At the end of the video, what is the mood of the man who gets hit?	Angry	['Happy', 'Sad', 'Angry', 'Neutral']	22	(C) Angry	1.0
plotQA	video/1_plotQA	421.0	movie101_73.mp4	What color is the clothing of the first man to appear in the video?	Yellow	['White', 'Yellow', 'Green', 'Black']	59	(D) Black	1.0
plotQA	video/1_plotQA	421.0	movie101_73.mp4	What color is the dress of the first woman to appear in the video?	White	['White', 'Green', 'Black', 'Yellow']	420	(A) White	0.0
topic_reasoning	video/7_topic_reasoning	421.0	movie101_73.mp4	What is the main story of the film?	Blind date	['Blind date', 'Fighting', 'Dancing', 'Eating']	1954	(A) Blind date	0.0
topic_reasoning	video/7_topic_reasoning	421.0	movie101_73.mp4	What type of film is this?	Romance	['Sci-fi', 'Comedy', 'Mystery', 'Romance']	2080	(D) Romance	1.0
plotQA	video/1_plotQA	720.0	movie101_111.mp4	Why did the man in the black coat leave after handing something to the speaker?	There was a case he needed to handle	['There was a case he needed to handle', 'He was preparing for the next speech', 'He was in a hurry to go to the bathroom', 'He went to get another item']	24	(A) There was a case he needed to handle	0.0
plotQA	video/1_plotQA	720.0	movie101_111.mp4	Why did two people in white coats push a device onto the stage during the speech?	To assist the man in the black suit with his speech	['There was an unexpected situation on the stage', 'They pushed the device onto the stage on their own', 'To allow the man to repair the device', 'To assist the man in the black suit with his speech']	62	(A) There was an unexpected situation on the stage	0.0
plotQA	video/1_plotQA	720.0	movie101_111.mp4	Why did the man in the black coat enter the house of the woman in the white coat?	To investigate a suspect	['To commit a robbery', 'To investigate a suspect', 'To rescue the woman', 'To help the woman']	125	(B) To investigate a suspect	1.0
topic_reasoning	video/7_topic_reasoning	720.0	movie101_111.mp4	What is the main plot shown in the video?	Police solving a case	['Police solving a case', 'Basketball match', 'Friends gathering', 'Traveling and sightseeing']	1973	(A) Police solving a case	1.0
topic_reasoning	video/7_topic_reasoning	720.0	movie101_111.mp4	What type of video is this?	Mystery	['Comedy', 'Science fiction', 'Action', 'Mystery']	2030	(D) Mystery	1.0
plotQA	video/1_plotQA	214.0	movie101_1.mp4	What is the mood of the person in the blue pants after kicking the water?	Resentful	['Resentful', 'Surprised', 'Happy', 'Depressed']	26	(A) Resentful	1.0
plotQA	video/1_plotQA	214.0	movie101_1.mp4	Why did the children run out of the classroom?	To watch two other children fight	['To play games', 'Class is over', 'To watch two other children fight', 'To eat']	207	(C) To watch two other children fight	1.0
plotQA	video/1_plotQA	214.0	movie101_1.mp4	At the beginning of the video, what behavior of the person in the black shirt is the person in the blue pants trying to prevent?	Lighting a cigarette	['Lighting a cigarette', 'Bowing down', 'Raising hand', 'Squatting down']	388	(A) Lighting a cigarette	0.0
plotQA	video/1_plotQA	247.0	movie101_32.mp4	What color is the car being repaired in the movie?	White	['Black', 'Yellow', 'Blue', 'White']	27	(D) White	1.0
plotQA	video/1_plotQA	247.0	movie101_32.mp4	What color is the car knocking on the window and opening the door in the movie?	Red	['Red', 'Blue', 'Yellow', 'White']	239	(A) Red	1.0
plotQA	video/1_plotQA	247.0	movie101_32.mp4	At what time does the car repair scene in the movie take place?	Night	['Noon', 'Evening', 'Night', 'Morning']	389	(C) Night	0.0
plotQA	video/1_plotQA	247.0	movie101_32.mp4	What color are the pants of the man in the blue shirt in the horse riding scene in the movie?	Red	['Yellow', 'Blue', 'White', 'Red']	425	(D) Red	1.0
topic_reasoning	video/7_topic_reasoning	247.0	movie101_32.mp4	What is the genre of this film clip?	Modern	['Comedy', 'War', 'Horror', 'Modern']	2045	(D) Modern	1.0
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the clothing of the person holding a gun in the fight scene?	Black	['Black', 'White', 'Green', 'Yellow']	28	(A) Black	0.0
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the chimney in the video?	Alternating orange and white	['Yellow', 'Green', 'Alternating orange and white', 'White']	30	(C) Alternating orange and white	1.0
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the top worn by the woman making a phone call in the video?	Green	['Green', 'White', 'Blue', 'Yellow']	31	(C) Blue	0.0
plotQA	video/1_plotQA	478.0	en_tv_25.mp4	What color is the table lamp in the background of the scene where two people are chatting?	White	['White', 'Green', 'Yellow', 'Black']	35	(C) Yellow	1.0
topic_reasoning	video/7_topic_reasoning	478.0	en_tv_25.mp4	What genre of film is the clip in the video from?	Action film	['War film', 'Horror film', 'Documentary', 'Action film']	2061	(B) Horror film	1.0
plotQA	video/1_plotQA	748.0	movie101_34.mp4	What color is the hair of the boy buying things in the convenience store in the video?	Yellow	['Black', 'Red', 'White', 'Yellow']	29	(D) Yellow	1.0
plotQA	video/1_plotQA	748.0	movie101_34.mp4	What color is the girl's hair in the video?	Blue	['Red', 'Blue', 'White', 'Black']	244	(D) Black	1.0
plotQA	video/1_plotQA	748.0	movie101_34.mp4	How many candles are lit in the video?	Four	['One', 'Three', 'Four', 'Two']	390	(A) One	1.0
plotQA	video/1_plotQA	748.0	movie101_34.mp4	What color is the hoodie that the boy in the video is wearing?	Green	['Green', 'Red', 'White', 'Black']	426	(A) Green	1.0
topic_reasoning	video/7_topic_reasoning	748.0	movie101_34.mp4	What is the genre of the movie clip?	Modern	['Horror', 'War', 'Modern', 'Comedy']	2036	(C) Modern	0.0
topic_reasoning	video/7_topic_reasoning	748.0	movie101_34.mp4	In what setting does the scene in the video take place?	Town	['Forest', 'Island', 'Snowy Mountain', 'Town']	2127	(D) Town	1.0
plotQA	video/1_plotQA	577.0	en_tv_31.mp4	What is the woman in the blue dress holding in the video?	Flower	['Food', 'Mirror', 'Flower', 'Water Cup']	32	(C) Flower	1.0
plotQA	video/1_plotQA	577.0	en_tv_31.mp4	What color is the dress of the woman who enters while the two men are cooking at the beginning?	Blue	['Blue', 'White', 'Green', 'Black']	217	(A) Blue	1.0
plotQA	video/1_plotQA	577.0	en_tv_31.mp4	What does the drone operated by the two men hit?	Photo	['Photo', 'Cabinet', 'Vase', 'Table']	394	(A) Photo	1.0
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color are the flowers on the table in the meeting scene in the video?	White	['Black', 'White', 'Yellow', 'Blue']	33	(B) White	1.0
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color is the jacket worn by the fencing coach in the video?	Blue	['White', 'Green', 'Purple', 'Blue']	149	(A) White	0.0
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color is the computer used by the man during the meeting?	Silver	['Green', 'Blue', 'Silver', 'Purple']	213	(C) Silver	1.0
plotQA	video/1_plotQA	374.0	movie101_27.mp4	What color is the shirt worn by the man while chatting with the woman in the office?	Purple	['Blue', 'White', 'Green', 'Purple']	391	(B) White	0.0
plotQA	video/1_plotQA	227.0	movie101_71.mp4	What color is the dress of the woman writing on the wall in the video?	White	['Black', 'White', 'Blue', 'Red']	36	(B) White	1.0
plotQA	video/1_plotQA	227.0	movie101_71.mp4	What mode of transportation does the man at the end of the video use to pick up the woman?	Car	['Electric Scooter', 'Car', 'Bicycle', 'Train']	215	(B) Car	0.0
topic_reasoning	video/7_topic_reasoning	227.0	movie101_71.mp4	What event is primarily depicted in the video?	Prison Break	['Prison Break', 'Romance', 'Dance', 'Competition']	2043	(A) Prison Break	1.0
topic_reasoning	video/7_topic_reasoning	227.0	movie101_71.mp4	What is the genre of this film?	Comedy	['Romance', 'Comedy', 'Mystery', 'Science Fiction']	2048	(C) Mystery	1.0
plotQA	video/1_plotQA	607.0	movie101_78.mp4	What color is the woman's dress in the tavern?	Green	['Pink', 'Red', 'White', 'Green']	37	(B) Red	1.0
plotQA	video/1_plotQA	607.0	movie101_78.mp4	What animal is the woman and man holding in their hands while standing in the night?	Dog	['Pig', 'Cat', 'Rabbit', 'Dog']	151	(C) Rabbit	1.0
plotQA	video/1_plotQA	607.0	movie101_78.mp4	What did the woman split open with a knife?	Mat	['Mat', 'Cloth', 'Wood', 'Paper']	513	(D) Paper	0.0
topic_reasoning	video/7_topic_reasoning	607.0	movie101_78.mp4	In what setting does the event in the video take place?	Ancient Folklore	['Modern Countryside', 'Ancient Folklore', 'Modern City', 'Ancient Palace']	2066	(D) Ancient Palace	0.0
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	What is the cartoon big mouse taking the cartoon little mouse to do?	Looking for food	['Looking for food', 'Listening to music', 'Watching movies', 'Playing ball']	38	(A) Looking for food	1.0
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	Why does the cartoon little mouse want to eat the cheese on the clip?	Because the cartoon little mouse is hungry	['Because the cartoon little mouse is angry', 'Because the cartoon little mouse wants to grow', 'Because the cartoon little mouse is hungry', 'Because the cartoon little mouse is happy']	76	(C) Because the cartoon little mouse is hungry	1.0
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	What does the cartoon big mouse use to help the cartoon little mouse climb the table?	Noodles	['Tablecloth', 'Towel', 'Rope', 'Noodles']	219	(C) Rope	1.0
plotQA	video/1_plotQA	302.0	tomjerry_10.mp4	Why did the cartoon little mouse turn into a sphere?	Because it swallowed an orange	['Because it swallowed an orange', 'Because it swallowed an apple', 'Because it swallowed a tomato', 'Because it swallowed a peach']	395	(A) Because it swallowed an orange	0.0
topic_reasoning	video/7_topic_reasoning	302.0	tomjerry_10.mp4	Where is the scene of the video?	Inside the house	['Street', 'Park', 'Outdoors', 'Inside the house']	2024	(D) Inside the house	1.0
